ลำดับ,ร้าน,วันที่,รหัสสินค้า,บาร์โค้ด,ชื่อสินค้า,รหัสหมวดหมู่,หมวดหมู่,ยอดยกมา,รับเข้า,ขายออก,รับแปร,เบิกแปร,ปรับเพิ่ม,ปรับลด,รับผลิต,เบิกผลิต,สินค้าคงเหลือ,หน่วย,@หน่วย,มูลค่าคงเหลือ,รหัสเหตุผล,เหตุผล
76,CP Fresh Shop ດອນໜູນ,01/06/2025,800000121130,1363060450741,Okimchi 300g,012,ອາຫານສຳເລັດຮູບ,14.0,0.0,2.0,0,0,0.0,0.0,0,0,12.0,"ຊນ,ອັນ",25000,300000.0,-,-
77,CP Fresh Shop ດອນໜູນ,01/06/2025,800000101379,2302202223,NVໜອກສະໄລອົດສະຕາລີ300g,007,ອາຫານແຊ່ແຂງ,6.0,10.0,4.0,0,0,0.0,0.0,0,0,12.0,"ຊນ,ອັນ",58500,702000.0,-,-
78,CP Fresh Shop ດອນໜູນ,01/06/2025,2255121274,8562551215095,ຊີ້ນສາມຊັ້ນສະໄລ້ອານາໄມ 1000 ກຣາມ,006,ຊີ້ນແພກແບຣນ,13.0,0.0,1.0,0,0,0.0,0.0,0,0,12.0,ແພັກ,94000,1128000.0,-,-
79,CP Fresh Shop ດອນໜູນ,01/06/2025,800000101356,8850016635169,TVIຄອມໂບຊີສບັນລວມ 500g,007,ອາຫານແຊ່ແຂງ,14.0,0.0,2.0,0,0,0.0,0.0,0,0,12.0,"ຊນ,ອັນ",50750,609000.0,-,-
80,CP Fresh Shop ດອນໜູນ,01/06/2025,800000125871,11112024,ຫມຶກເສັ້ນ1kg,007,ອາຫານແຊ່ແຂງ,12.0,0.0,1.0,0,0,0.0,0.0,0,0,11.0,"ຊນ,ອັນ",37500,412500.0,-,-
81,CP Fresh Shop ດອນໜູນ,01/06/2025,2255121619,8562551216191,ຊີ້ນຄໍໝູປີ້ງ WF(TS) 500 ກຣາມ,006,ຊີ້ນແພກແບຣນ,12.0,0.0,1.0,0,0,0.0,0.0,0,0,11.0,ແພັກ,65500,720500.0,-,-
82,CP Fresh Shop ດອນໜູນ,01/06/2025,800000157630,8850425003849,ບັດເຕີເຄັກກ່ອງ,013,ເຂົ້າໜົມ,12.0,0.0,1.0,0,0,0.0,0.0,0,0,11.0,"ຊນ,ອັນ",20963,230593.0,-,-
83,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084491,882093656187,ແຈ່ວສຸກີ້ ແມ່ຂ້ອຍ 500ກຼາມ,803,ແຈ່ວຊີ້ນດາດ - ຊີ້ນຈຸ່ມ,12.0,0.0,1.0,0,0,0.0,0.0,0,0,11.0,"ຊນ,ອັນ",27000,297000.0,-,-
84,CP Fresh Shop ດອນໜູນ,01/06/2025,800000101376,12032022,NV ຂາລາຍAUD 500g,007,ອາຫານແຊ່ແຂງ,11.0,0.0,1.0,0,0,0.0,0.0,0,0,10.0,"ຊນ,ອັນ",65000,650000.0,-,-
85,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084279,8858828509548,ກະແລ້ມຖົ່ວດຳ,012,ອາຫານສຳເລັດຮູບ,12.0,0.0,2.0,0,0,0.0,0.0,0,0,10.0,"ຊນ,ອັນ",8000,80000.0,-,-
86,CP Fresh Shop ດອນໜູນ,01/06/2025,800000101365,8858770730489,SUNFOOD ປີກບົນໄກ່ຖົງແດງ1kg,007,ອາຫານແຊ່ແຂງ,12.0,0.0,2.0,0,0,0.0,0.0,0,0,10.0,"ຊນ,ອັນ",50334,503340.0,-,-
87,CP Fresh Shop ດອນໜູນ,01/06/2025,2255121410,8562551214104,ຫາງໝູອານາໄມ FREEZE 1000 ກຣາມ,004,ຊີ້ນອານາໄມ,10.0,0.0,1.0,0,0,0.0,0.0,0,0,9.0,ຖົງ,63000,567000.0,-,-
88,CP Fresh Shop ດອນໜູນ,01/06/2025,800000106829,11092024,ເສັ້ນແກ້ວສະລ່າຍຄາວາ1000g,008,ເຄື່ອງແຫ້ງ,10.0,0.0,1.0,0,0,0.0,0.0,0,0,9.0,"ຊນ,ອັນ",34584,311256.0,-,-
89,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084393,9639472640196,ປາຊາບະເປັນໂຕ 400ກຼາມ,007,ອາຫານແຊ່ແຂງ,11.0,0.0,2.0,0,0,0.0,0.0,0,0,9.0,"ຊນ,ອັນ",46000,414000.0,-,-
90,CP Fresh Shop ດອນໜູນ,01/06/2025,2255120310,8858984832801,ລຸກຊີ້ນຫມູ A ແພັກ 500 g,012,ອາຫານສຳເລັດຮູບ,10.0,0.0,1.0,0,0,0.0,0.0,0,0,9.0,ແພັກ,30998,278982.0,-,-
91,CP Fresh Shop ດອນໜູນ,01/06/2025,800000121131,5582110331359,Okimchi 500g,012,ອາຫານສຳເລັດຮູບ,11.0,0.0,2.0,0,0,0.0,0.0,0,0,9.0,"ຊນ,ອັນ",35000,315000.0,-,-
